date,min,max,median,q1,q3,stdev,count
2021-04-02T00:00:00.000Z,0.2,3.17,0.77,0.5,1,0.432,203
2021-04-03T00:00:00.000Z,0.2,4.97,0.77,0.5,1.03,0.561,215
2021-04-04T00:00:00.000Z,0.4,4.5,1.52,1,2.57,0.888,210
2021-04-05T00:00:00.000Z,0,2.6,0.6,0.43,0.9,0.448,178
2021-04-06T00:00:00.000Z,0,1.2,0.33,0.23,0.5,0.221,238
2021-04-07T00:00:00.000Z,0.1,9.3,1.6,0.8,2.2,1.229,167
2021-04-08T00:00:00.000Z,0.4,7.03,1.1,0.7,1.73,0.792,195
2021-04-09T00:00:00.000Z,0.4,3.5,1.1,0.83,1.75,0.638,189
2021-04-10T00:00:00.000Z,0.2,2.57,0.8,0.56,1.1,0.405,170
2021-04-11T00:00:00.000Z,0.37,2.93,1.2,0.9,1.53,0.479,143
2021-04-12T00:00:00.000Z,0.3,27.97,2.74,0.7,8.1,4.813,124
2021-04-13T00:00:00.000Z,0.23,3.23,0.9,0.7,1.1,0.478,139
2021-04-14T00:00:00.000Z,0.37,24.2,1.07,0.72,2.02,2.285,133
2021-04-15T00:00:00.000Z,0.4,13.13,1.5,1.1,2.17,1.844,127
2021-04-16T00:00:00.000Z,0.7,5.83,1.6,1.3,2,0.835,133
2021-04-17T00:00:00.000Z,0.5,3.1,1.4,1.1,1.7,0.465,151
2021-04-18T00:00:00.000Z,0.8,4.23,1.5,1.3,1.73,0.45,134
2021-04-19T00:00:00.000Z,1.1,4.3,2,1.59,2.57,0.715,128
2021-04-20T00:00:00.000Z,0.63,9.33,1.97,1.33,2.5,1.188,131
2021-04-21T00:00:00.000Z,0.7,7.57,2.2,1.63,2.9,1.156,111
2021-04-22T00:00:00.000Z,0.2,7.83,0.9,0.5,1.7,1.16,111
2021-04-23T00:00:00.000Z,0.1,2.6,0.7,0.5,0.93,0.384,113
2021-04-24T00:00:00.000Z,0.1,1.5,0.6,0.3,0.8,0.304,129
2021-04-25T00:00:00.000Z,0.17,1.4,0.56,0.43,0.83,0.272,161
2021-04-26T00:00:00.000Z,0.3,5.73,0.93,0.7,1.3,0.616,137
2021-04-27T00:00:00.000Z,0.47,3.8,1.27,1,1.7,0.62,126
2021-04-28T00:00:00.000Z,0.5,4.83,1.7,0.97,2.27,0.915,126
2021-04-29T00:00:00.000Z,0.7,12,1.63,1.23,3.33,1.831,115
2021-04-30T00:00:00.000Z,0.56,7.23,1.4,1,1.79,0.91,101
2021-05-01T00:00:00.000Z,0.47,4.93,1.29,1.02,1.77,0.679,140
2021-05-02T00:00:00.000Z,0.2,3.87,0.93,0.7,1.3,0.59,135
